mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
yungsextras,YUNG's Extras,1.20-Forge-4.0.3,YungsExtras-1.20-Forge-4.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-extras,https://github.com/yungnickyoung/YUNGs-Extras/issues
mr_dungeons_andtaverns,Dungeons and Taverns,3.0.3.f,dungeons-and-taverns-3.0.3.f[Forge].jar,,https://modrinth.com/datapack/dungeons-and-taverns,https://github.com/NovaWostra/Dungeons-and-Taverns/issues
attributeslib,Apothic Attributes,1.3.7,ApothicAttributes-1.20.1-1.3.7.jar,,,
noisium,Noisium,2.3.0+mc1.20-1.20.1,noisium-forge-2.3.0+mc1.20-1.20.1.jar,,https://github.com/Steveplays28/noisium,https://github.com/Steveplays28/noisium/issues
tombstone,Corail Tombstone,9.0.1,tombstone-1.20.1-9.0.1.jar,,https://www.curseforge.com/minecraft/mc-mods/corail-tombstone/,https://github.com/Corail31/tombstone_lite/issues
extrastorage,ExtraStorage,4.0.7,ExtraStorage-1.20.1-4.0.7.jar,https://www.curseforge.com/minecraft/mc-mods/extrastorage,,
constructionwand,Construction Wand,1.20.1-2.11,constructionwand-1.20.1-2.11.jar,,https://github.com/Theta-Dev/ConstructionWand,
mcwroofs,Macaw's Roofs,2.3.2,mcw-roofs-2.3.2-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-roofs,
transition,TRansition,1.0.3,TRansition-1.0.3-1.20.1-forge-SNAPSHOT.jar,,https://github.com/tr7zw/TRansition,https://github.com/tr7zw/TRansition/issues
woodenbucket,Wooden Bucket,1.20.1-2.1.0.0,woodenbucket-1.20.1-2.1.0.0.jar,,https://github.com/cech12/WoodenBucket,https://github.com/cech12/WoodenBucket/issues
itemphysic,ItemPhysic,1.8.7,ItemPhysic_FORGE_v1.8.7_mc1.20.1.jar,,https://modrinth.com/mod/itemphysic,https://github.com/CreativeMD/ItemPhysic/issues
flib,flib,0.0.15,flib-1.20.1-0.0.15.jar,,https://www.curseforge.com/minecraft/mc-mods/flib,https://github.com/Lothrazar/FLib/issues
betterendisland,YUNG's Better End Island,1.20-Forge-2.0.6,YungsBetterEndIsland-1.20-Forge-2.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-end-island,https://github.com/yungnickyoung/YUNGs-Better-End-Island/issues
bigger_vanilla_trees,bigger_vanilla_trees-forge,1.0,bigger_vanilla_trees-forge-1.20-1.0.jar,,,
toms_storage,Tom's Simple Storage Mod,1.7.1,toms_storage-1.20-1.7.1.jar,,https://www.curseforge.com/minecraft/mc-mods/toms-storage,https://github.com/tom5454/Toms-Storage/issues
furnacerecycle,Furnace Recycle,2.5,furnacerecycle-1.20.1-2.5.jar,,https://serilum.com/mod/furnace-recycle,https://github.com/Serilum/.issue-tracker/labels/Mod:%20Furnace%20Recycle
fastleafdecay,Fast Leaf Decay,32,FastLeafDecay-32.jar,,,
mcwlights,Macaw's Lights and Lamps,1.1.2,mcw-lights-1.1.2-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-lights-and-lamps,
betterjungletemples,YUNG's Better Jungle Temples,1.20-Forge-2.0.5,YungsBetterJungleTemples-1.20-Forge-2.0.5.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-jungle-temples,https://github.com/yungnickyoung/YUNGs-Better-Jungle-Temples/issues
smartbrainlib,SmartBrainLib,1.15,SmartBrainLib-forge-1.20.1-1.15.jar,,,https://github.com/Tslat/SmartBrainLib/issues
simplyjetpacks,Simply Jetpacks 2,1.20.1-2.11.0.0,SimplyJetpacks2-1.20.1-2.11.0.0.jar,,https://www.curseforge.com/minecraft/mc-mods/simply-jetpacks-2,https://github.com/Tomson124/SimplyJetpacks2/issues
rechiseled,Rechiseled,1.1.6,rechiseled-1.1.6-forge-mc1.20.jar,,https://www.curseforge.com/minecraft/mc-mods/rechiseled,https://github.com/SuperMartijn642/Rechiseled/issues
createcobblestone,Create cobblestone,1.4.5+forge-1.20.1-106,createcobblestone-1.4.5+forge-1.20.1-106.jar,,,
immersiveindustry,Immersive Industry,1.20.1-0.2.3,ImmersiveIndustry-1.20.1-0.2.3.jar,,https://www.curseforge.com/minecraft/mc-mods/immersive-industry,https://github.com/TeamMoegMC/ImmersiveIndustry/issues
visualworkbench,Visual Workbench,8.0.0,VisualWorkbench-v8.0.0-1.20.1-Forge.jar,,https://github.com/Fuzss/visualworkbench,https://github.com/Fuzss/visualworkbench/issues
attributefix,AttributeFix,21.0.4,AttributeFix-Forge-1.20.1-21.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/attributefix,https://github.com/Darkhax-Minecraft/AttributeFix/issues
libraryferret,Library ferret,4.0.0,libraryferret-forge-1.20.1-4.0.0.jar,,https://www.curseforge.com/minecraft/mc-mods/library-ferret-forge,
caelus,Caelus API,3.2.0+1.20.1,caelus-forge-3.2.0+1.20.1.jar,,https://github.com/TheIllusiveC4/Caelus,https://github.com/TheIllusiveC4/Caelus/issues
fastasyncworldsave,fastasyncworldsave mod,1.20.1-2.4,fastasyncworldsave-1.20.1-2.4.jar,,,
epherolib,BOZOID,0.1.2,EpheroLib-1.20.1-FORGE-1.2.0.jar,,https://discord.gg/GZjtAn3F6W,
compactmachines,Compact Machines,6.0.3,compactmachines-forge-6.0.3.jar,,,
botanypots,BotanyPots,13.0.41,BotanyPots-Forge-1.20.1-13.0.41.jar,,https://www.curseforge.com/minecraft/mc-mods/botany-pots,https://github.com/Darkhax-Minecraft/BotanyPots/issues
champions,Champions Unofficial,1.20.1-2.1.12.0,champions-forge-1.20.1-2.1.12.0.jar,,https://github.com/TheIllusiveC4/Champions/,https://github.com/CrychicTeam/Champions/issues
voidminers,Void Miners,1.20.1-1.4.4,VoidMiners-1.20.1-1.4.4.jar,,,
phosphophyllite,Phosphophyllite,0.7.0-alpha.0.2,phosphophyllite-1.20.1-0.7.0-alpha.0.2.jar,,https://biggerseries.net/,https://github.com/BiggerSeries/Phosphophyllite/issues/
rechiseledcreate,Rechiseled: Create,1.0.2+a,rechiseledcreate-1.0.2a-forge-mc1.20.jar,,https://www.curseforge.com/minecraft/mc-mods/rechiseled,https://github.com/SuperMartijn642/Rechiseled/issues
additional_lights,Additional Lights,2.1.7,additional_lights-1.20.1-2.1.7.jar,,https://www.curseforge.com/minecraft/mc-mods/additional-lights,
electrodynamics,Electrodynamics,1.20.1-0.9.2-4,Electrodynamics-1.20.1-0.9.2-4.jar,,https://github.com/aurilisdev/Electrodynamics,https://github.com/aurilisdev/Electrodynamics
fusion,Fusion,1.2.7+b,fusion-1.2.7b-forge-mc1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/fusion-connected-textures,https://github.com/SuperMartijn642/Fusion/issues
crafttweaker,CraftTweaker,14.0.57,CraftTweaker-forge-1.20.1-14.0.57.jar,,https://minecraft.curseforge.com/projects/crafttweaker,https://github.com/CraftTweaker/CraftTweaker/issues
extradisks,Extra Disks,1.20.1-3.0.3,ExtraDisks-1.20.1-3.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/extra-disks/,https://github.com/MelanX/ExtraDisks/issues
edivadlib,EdivadLib,2.0.1,EdivadLib-1.20.1-2.0.1.jar,https://www.curseforge.com/minecraft/mc-mods/edivadlib,,
lootintegrations_betterarcheology,lootintegrations_betterarcheology mod,1,lootintegrations_betterarcheology-1.2.jar,,,
sophisticatedbackpackscreateintegration,Sophisticated Backpacks Create Integration,0.1.3.11,sophisticatedbackpackscreateintegration-1.20.1-0.1.3.11.jar,,,https://github.com/P3pp3rF1y/SophisticatedBackpacksCreateIntegration/issues
ironchest,Iron Chests,1.20.1-14.4.4,ironchest-1.20.1-14.4.4.jar,,https://minecraft.curseforge.com/projects/iron-chests,https://github.com/progwml6/ironchest/issues
mythicbotany,MythicBotany,1.20.1-4.0.4,MythicBotany-1.20.1-4.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/mythicbotany,https://github.com/noeppi-noeppi/MythicBotany/issues
minecraft,Minecraft,1.20.1,client-1.20.1-20230612.114412-srg.jar,,,
smoothchunk,Smoothchunk mod,1.20.1-4.1,smoothchunk-1.20.1-4.1.jar,,,
shw,Set Home & Waypoints,1.1.0,SHW 1.1.0 [FORGE] 1.20.1.jar,,,
terrablender,TerraBlender,3.0.1.10,TerraBlender-forge-1.20.1-3.0.1.10.jar,,,https://github.com/Glitchfiend/TerraBlender/issues
necronomicon,Necronomicon,1.6.0,Necronomicon-Forge-1.6.0+1.20.1.jar,,,
pamhc2crops,Pam's HarvestCraft 2 - Crops,1.0.3,pamhc2crops-1.20-1.0.3.jar,,,
cleanswing,Clean Swing Through Grass,1.8,cleanswing-1.20-1.8.jar,,,
adlods,Large Ore Deposits,8.1.6.0,AdLods-1.20.1-8.1.6.0-build.1450.jar,,https://www.curseforge.com/minecraft/mc-mods/large-ore-deposits,https://www.curseforge.com/minecraft/mc-mods/large-ore-deposits/issues
chickenchunks,ChickenChunks,2.10.0.100,ChickenChunks-1.20.1-2.10.0.100-universal.jar,,https://www.curseforge.com/minecraft/mc-mods/chicken-chunks-1-8,https://github.com/TheCBProject/ChickenChunks
domum_ornamentum,Domum Ornamentum,1.20.1-1.0.186-RELEASE,domum_ornamentum-1.20.1-1.0.186-RELEASE-universal.jar,,,
compacter,Compacter,1.11.0.4,compacter-1.11.0.4-mc1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/compacter,https://github.com/bdew-minecraft/compacter/issues
flywheel,Flywheel,1.0.4,flywheel-forge-1.20.1-1.0.4.jar,,https://github.com/Engine-Room/Flywheel,https://github.com/Engine-Room/Flywheel/issues
structurize,Structurize,1.20.1-1.0.775-snapshot,structurize-1.20.1-1.0.775-snapshot.jar,,https://minecolonies.com/,https://github.com/ldtteam/structurize/issues/new/choose
immediatelyfast,ImmediatelyFast,1.5.0+1.20.4,ImmediatelyFast-Forge-1.5.0+1.20.4.jar,,,https://github.com/RaphiMC/ImmediatelyFast/issues
fastfurnace,FastFurnace,8.0.2,FastFurnace-1.20.1-8.0.2.jar,,,
lootr,Lootr,0.7.35.91,lootr-forge-1.20-0.7.35.91.jar,,https://minecraft.curseforge.com/projects/lootr,https://github.com/noobanidus/Lootr/issues
deep_dark_regrowth,Deep Dark: Regrowth,1.2.6.1,Deep Dark Regrowth 1.2.6.1 - 1.20.1.jar,,https://mcreator.net,
cosmeticarmorreworked,CosmeticArmorReworked,1.20.1-v1a,cosmeticarmorreworked-1.20.1-v1a.jar,,,
euphoria_patcher,EuphoriaPatcher,1.6.5-r5.5.1-forge,EuphoriaPatcher-1.6.5-r5.5.1-forge.jar,,https://euphoriapatches.com,https://euphoriapatches.com/discord
rsrequestify,RSRequestify,2.3.3,rsrequestify-1.20.1-2.3.3.jar,,,
weaponmaster_ydm,YDM's Weapon Master,4.2.3,weaponmaster_ydm-forge-1.20.1-4.2.3.jar,,https://www.curseforge.com/minecraft/mc-mods/ydms-weapon-master,
kuma_api,KumaAPI,20.1.10,kuma-api-forge-20.1.10+1.20.1.jar,,https://mods.twelveiterations.com/mc/kuma,https://github.com/TwelveIterationMods/Kuma/issues
solarpanels,Mekanism-MoreSolarPanels,1.5.9,Mekanism-MoreSolarPanels-1.20.1-1.5.9.jar,,,
alchemylib,AlchemyLib,1.0.30,alchemylib-1.20.1-1.0.30.jar,,,https://github.com/smashingmods/alchemylib/issues
extendedcrafting,Extended Crafting,6.0.9,ExtendedCrafting-1.20.1-6.0.9.jar,,https://blakesmods.com/extended-crafting,
betteroceanmonuments,YUNG's Better Ocean Monuments,1.20-Forge-3.0.4,YungsBetterOceanMonuments-1.20-Forge-3.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-ocean-monuments,https://github.com/yungnickyoung/YUNGs-Better-Ocean-Monuments/issues
sophisticatedcore,Sophisticated Core,1.2.71.1022,sophisticatedcore-1.20.1-1.2.71.1022.jar,,,https://github.com/P3pp3rF1y/SophisticatedCore/issues
gpumemleakfix,Gpu memory leak fix,1.20.1-1.8,gpumemleakfix-1.20.1-1.8.jar,,,
structureessentials,Structure Essentials mod,1.20.1-4.8,structureessentials-1.20.1-4.8.jar,,,
placebo,Placebo,8.6.3,Placebo-1.20.1-8.6.3.jar,,,
lootintegrations,Lootintegrations mod,1.20.1-4.7,lootintegrations-1.20.1-4.7.jar,,,
moreminecarts,More Minecarts and Rails,1.8.3,moreminecarts-1.8.3.jar,,,
bookshelf,Bookshelf,20.2.13,Bookshelf-Forge-1.20.1-20.2.13.jar,,https://www.curseforge.com/minecraft/mc-mods/bookshelf,https://github.com/Darkhax-Minecraft/Bookshelf/issues
sophisticatedbackpacks,Sophisticated Backpacks,3.23.19.1263,sophisticatedbackpacks-1.20.1-3.23.19.1263.jar,,,https://github.com/P3pp3rF1y/SophisticatedBackpacks/issues
mcwdoors,Macaw's Doors,1.1.2,mcw-doors-1.1.2-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-doors,
carryon,Carry On,2.1.2.7,carryon-forge-1.20.1-2.1.2.7.jar,,https://tschipp.ch,https://github.com/Tschipp/CarryOn/issues
melody,Melody,1.0.2,melody_forge_1.0.3_MC_1.20.1-1.20.4.jar,,,
interiors,Create: Interiors,0.5.6,interiors-0.5.6+forge-mc1.20.1-local.jar,,https://www.curseforge.com/minecraft/mc-mods/interiors,https://github.com/aesefficio/CreateInteriorsMod/issues
konkrete,Konkrete,1.8.0,konkrete_forge_1.8.0_MC_1.20-1.20.1.jar,,,
rsinfinitybooster,RSInfinityBooster,1.20.1-1.0+41,RSInfinityBooster-1.20.1-1.0+41.jar,,,
refinedstorage,Refined Storage,1.12.4,refinedstorage-1.12.4.jar,,https://refinedmods.com/refined-storage,https://github.com/refinedmods/refinedstorage
equipmentcompare,Equipment Compare,1.3.7,EquipmentCompare-1.20.1-forge-1.3.7.jar,,https://anthonyhilyard.com/,
create_connected,Create: Connected,1.1.7-mc1.20.1,create_connected-1.1.7-mc1.20.1-all.jar,,https://github.com/hlysine/create_connected,https://github.com/hlysine/create_connected/issues
chipped,Chipped,3.0.7,chipped-forge-1.20.1-3.0.7.jar,,https://modrinth.com/mod/chipped,https://github.com/terrarium-earth/chipped/issues
rechiseled_chipped,Rechiseled: Chipped,1.2,rechiseled_chipped-1.2.1-1.20.1.jar,,,
exmachinis,Ex Machinis: Divitiae Deorum,3.0.3,exmachinis-deorum-1.20.1-3.0.3.jar,,,
mcwbridges,Macaw's Bridges,3.1.0,mcw-bridges-3.1.0-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-bridges,
entity_model_features,Entity Model Features,2.4.1,entity_model_features_forge_1.20.1-2.4.1.jar,,,https://github.com/Traben-0/Entity_Texture_Features/issues
entity_texture_features,Entity Texture Features,6.2.9,entity_texture_features_forge_1.20.1-6.2.9.jar,,,https://github.com/Traben-0/EmissiveMod/issues
endertanks,EnderTanks,1.20.1-1.4,endertanks-forge-1.20.1-1.4.jar,,https://shetiphian.carrd.co,https://github.com/ShetiPhian/Localizations-and-Issues/issues
simplylight,Simply Light,1.20.1-1.4.6-build.50,simplylight-1.20.1-1.4.6-build.50.jar,,,https://github.com/Flanks255/simplylight/issues
industrialforegoingsouls,Industrial Foregoing Souls,1.20.1-1.0.7,industrial-foregoing-souls-1.20.1-1.0.7.jar,,,
born_in_chaos_v1,Born in Chaos ,1.7,born_in_chaos_[Forge]1.20.1_1.7.jar,,https://mcreator.net,
lionfishapi,LionfishAPI,2.4-Fix,lionfishapi-2.4-Fix.jar,,,
solarflux,Solar Flux Reborn,20.1.11,SolarFluxReborn-1.20.1-20.1.11.jar,,https://modrinth.com/mod/4QG5lev4,https://github.com/dragon-forge/SolarFluxReborn/issues
memorysettings,memorysettings mod,1.20.1-5.9,memorysettings-1.20.1-5.9.jar,,,
mcwbiomesoplenty,Macaw's Biomes O' Plenty,1.20.1-1.2.1,mcwbiomesoplenty-1.20.1-1.2.1.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-biomes-o-plenty,https://github.com/Samlegamer/Macaw-s-Addons/issues
addonslib,Addons Lib,1.20.1-1.4,addonslib-1.20.1-1.4.jar,,https://www.curseforge.com/minecraft/mc-mods/addonslib,https://github.com/Samlegamer/AddonsLib/issues
cataclysm,cataclysm,3.07,L_Enders_Cataclysm-3.07.jar,,,
blockui,UI Library Mod,1.20.1-1.0.193,blockui-1.20.1-1.0.193.jar,,,
oreexcavation,OreExcavation,1.13.174,oreexcavation-1.13.174.jar,,https://www.curseforge.com/minecraft/mc-mods/ore-excavation,
tiab,Time In A Bottle,4.0.4-mc1.20.1,time-in-a-bottle-4.0.4-mc1.20.1.jar,,,
mysticalcustomization,Mystical Customization,5.0.2,MysticalCustomization-1.20.1-5.0.2.jar,,https://blakesmods.com/mystical-customization,
elevatorid,Elevator Mod,1.20.1-1.9.1-forge,elevatorid-1.20.1-1.9.1-forge.jar,,https://minecraft.curseforge.com/projects/openblocks-elevator/,https://github.com/VsnGamer/ElevatorMod/issues/
runelic,Runelic,18.0.2,Runelic-Forge-1.20.1-18.0.2.jar,,https://www.curseforge.com/minecraft/mc-mods/runelic,https://github.com/Darkhax-Minecraft/runelic/issues
starterkit,Starter Kit,7.4,starterkit-1.20.1-7.4.jar,,https://serilum.com/mod/starter-kit,https://github.com/Serilum/.issue-tracker/labels/Mod:%20Starter%20Kit
aiimprovements,AI-Improvements,0.5.2,AI-Improvements-1.20-0.5.2.jar,,,https://github.com/BuiltBrokenModding/AI-Improvements/issues
cupboard,Cupboard utilities,1.20.1-2.7,cupboard-1.20.1-2.7.jar,,,
woodenshears,Wooden Shears,1.20.1-1.5.0.1,woodenshears-1.20.1-1.5.0.1.jar,,https://github.com/cech12/WoodenShears,https://github.com/cech12/WoodenShears/issues
framework,Framework,0.7.15,framework-forge-1.20.1-0.7.15.jar,,https://mrcrayfish.com/mods?id=framework,
betteradvancements,Better Advancements,0.4.2.25,BetterAdvancements-Forge-1.20.1-0.4.2.25.jar,,https://www.curseforge.com/minecraft/mc-mods/better-advancements,https://github.com/https://github.com/way2muchnoise/BetterAdvancements/issues
biggerreactors,Bigger Reactors,0.6.0-beta.10.5,biggerreactors-1.20.1-0.6.0-beta.10.5.jar,,https://biggerseries.net/,https://github.com/BiggerSeries/BiggerReactors/issues/
pamhc2trees,Pam's HarvestCraft 2 - Trees,1.0.2,pamhc2trees-1.20-1.0.2.jar,,,
copycats,Create: Copycats+,3.0.2+mc.1.20.1-forge,copycats-3.0.2+mc.1.20.1-forge.jar,,https://github.com/copycats-plus/copycats,https://github.com/copycats-plus/copycats/issues
commonnetworking,Common Networking,1.0.5-1.20.1,common-networking-forge-1.0.5-1.20.1.jar,,,
obscure_api,Obscure API,15,obscure_api-15.jar,,,
mcwpaintings,Macaw's Paintings,1.0.5,mcw-paintings-1.0.5-1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-paintings,
clumps,Clumps,12.0.0.4,Clumps-forge-1.20.1-12.0.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/clumps,https://github.com/jaredlll08/Clumps/issues
artifacts,Artifacts,9.5.16,artifacts-forge-9.5.16.jar,,https://www.curseforge.com/minecraft/mc-mods/artifacts,https://github.com/ochotonida/artifacts/issues
storagenetwork,Simple Storage Network,1.12.2,SimpleStorageNetwork-1.20.1-1.12.2.jar,,https://minecraft.curseforge.com/projects/simple-storage-network,https://github.com/Lothrazar/Storage-Network/issues
escalated,Create: Escalated,1.1.0,escalated-1.1.0-create.6.0.6-mc.1.20.1-forge.jar,,,https://github.com/Create-In-Locomotion/Create-Escalated/issues
toastcontrol,Toast Control,8.0.3,ToastControl-1.20.1-8.0.3.jar,,,
tinkersdelight,Tinkers' Delight,1.2.0,tinkersdelight-1.2.0-forge-1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/tinker-delight,
skinlayers3d,3d-Skin-Layers,1.8.1,skinlayers3d-forge-1.8.1-mc1.20.1.jar,,https://modrinth.com/mod/3dskinlayers,https://github.com/tr7zw/3d-skin-layers/issues
xycraft_core,XyCraft: Core,0.6.22,XyCraft Core-0.6.22.jar,,,
mysticalagriculture,Mystical Agriculture,7.0.21,MysticalAgriculture-1.20.1-7.0.21.jar,,https://blakesmods.com/mystical-agriculture,
craftingtweaks,CraftingTweaks,18.2.5,craftingtweaks-forge-1.20.1-18.2.5.jar,,https://mods.twelveiterations.com/mc/craftingtweaks,https://github.com/TwelveIterationMods/CraftingTweaks/issues
useless_sword,Useless Sword,1.4.1,useless-sword-1.20.1-V1.4.2.jar,,https://www.curseforge.com/minecraft/mc-mods/useless-sword,
tconstruct,Tinkers' Construct,3.10.1.76,TConstruct-1.20.1-3.10.1.76.jar,,https://www.curseforge.com/minecraft/mc-mods/tinkers-construct,https://github.com/SlimeKnights/TinkersConstruct/issues
factory_api,Factory API,2.2.5,FactoryAPI-1.20.1-2.2.5-forge.jar,,https://github.com/Wilyicaro/FactoryAPI,https://github.com/Wilyicaro/FactoryAPI/Issues
