// Compost colors for butcher. You may add your own colors, change existing ones, or remove colors that aren't needed.
allblackcat, #d9d0cf
hoglinmeat, #ffffff
horsecarcassblackbditem, #beb9bb
horsecarcassblackritem, #b5b1af
horsecarcassblackwditem, #d9d6d7
horsecarcassblackwfitem, #d7d4d6
horsecarcassblackwsitem, #cfcacd
horsecarcassbrownbditem, #c9b8b1
horsecarcassbrownritem, #c8afa2
horsecarcassbrownwditem, #e6d3ca
horsecarcassbrownwfitem, #e4d2c9
horsecarcassbrownwsitem, #dec9bf
horsecarcasschestnutbditem, #e3c9be
horsecarcasschestnutritem, #e6c2b1
horsecarcasschestnutwditem, #ffe4d7
horsecarcasschestnutwfitem, #fee3d6
horsecarcasschestnutwsitem, #fadacd
horsecarcasscreamybditem, #dac8b8
horsecarcasscreamyritem, #e0c6ae
horsecarcasscreamywditem, #fbe6d4
horsecarcasscreamywfitem, #f8e4d3
horsecarcasscreamywsitem, #f4deca
horsecarcassdarkbrownbditem, #c0b6b2
horsecarcassdarkbrownritem, #bbaca5
horsecarcassdarkbrownwditem, #ddd2cd
horsecarcassdarkbrownwfitem, #dcd2cd
horsecarcassdarkbrownwsitem, #d3c8c3
horsecarcassgraybditem, #d0ccca
horsecarcassgrayritem, #cfc9c6
horsecarcassgraywditem, #eeeaea
horsecarcassgraywfitem, #ede8e7
horsecarcassgraywsitem, #e6e1e1
horsecarcasswhitebditem, #fffbfb
horsecarcasswhiteritem, #fffffc
horsecarcasswhitewditem, #ffffff
horsecarcasswhitewfitem, #ffffff
horsecarcasswhitewsitem, #ffffff
horsemeat, #ffffff
horseskeletoncarcassitem, #ffffff
humanflesh, #e8ab98
humanmeat, #ffffff
huskcorpse, #ffffff
intestines, #ffebf1
ironcleaverblade, #ffffff
jelliecat, #ffffff
jelliecatfur, #ffffff
kidney, #ffd9d9
lamb_loin, #e4d7d0
lamb_shoulder, #faeee8
lamb_sirloin, #eee1da
lambrib, #ffffff
leg_of_lamb, #f4e7e0
liver, #f1acaa
llamameat, #d2b59e
lucyaxolotlcarcass, #ff96ca
lungs, #fbcdcf
magic_wishbone, #ffffff
mediumslimecarcass, #8df573
mincedbeef, #ffede8
mincedlamb, #ffffff
mulecarcass, #e0cfc9
muleskin, #c5b2aa
netherite_butchers_knife, #e0d3d7
ocelotcarcass, #ffffe7
ocelotskin, #ffffd0
oil, #ffffff
orange_frog_leg, #fabc96
pandafur, #ffffff
pandameat, #e6cabf
persiancat, #ffffff
persiancatfur, #fffff8
phantomcarcass, #72738c
pig_skin, #ffddd9
piglinbrutecarcass, #cd875c
piglincorpse, #febea0
pillagercorpse, #ffffff
pillagerdisguise_boots, #fffcf5
pillagerdisguise_chestplate, #c9bbbb
pillagerdisguise_helmet, #ffffff
pillagerdisguise_leggings, #dde7e7
pillagermeat, #ffffff
playercorpseitem, #fffef0
plierjaw, #ffffff
pliers, #fce4cc
pointedsaltbase, #ffffff
pointedsaltfrustum, #ffffff
pointedsaltmiddle, #ffffff
pointedsalttip, #ffffff
polarbearfur, #ffffff
pork_belly, #fff2cf
pork_leg, #ffffe8
pork_loin, #ffffee
pork_shoulder, #fffacf
porkscratchings, #f5d3ae
rag, #ffffff
ragdollcat, #ffffff
ragdollcatfur, #ffffff
raw_chuck_steak, #ffd4cf
raw_lamb_shoulder, #ffffff
raw_lamb_sirloin, #ffe6e6
raw_leg_of_lamb, #ffebeb
raw_mulemeat, #fff4f8
raw_pork_belly, #ffffff
raw_pork_ham, #ffffff
raw_pork_leg, #ffffff
raw_pork_loin, #ffffff
raw_pork_shoulder, #ffffff
raw_ribeye_steak, #ffcdc5
raw_rump_steak, #ffc8c0
raw_sirloin_steak, #ffd2d6
raw_tbone_steak, #ffe8e7
rawbearmeat, #ffe1e0
rawblueaxolotlmeat, #ffffff
rawcamelmeat, #ffffff
rawcatmeat, #ffffff
rawcodfillet, #ffffff
rawcreeperleg, #f5ffed
rawcreepermeat, #b1ffab
rawcyanaxolotlmeat, #ffffff
rawdolphinmeat, #f7f7ff
rawdonkeymeat, #fffffe
rawdragonmeat, #877a91
raweldermeat, #fffff5
rawevokermeat, #ffffff
rawfoxmeat, #ffffff
rawgoldaxolotlmeat, #fffff8
rawguardianmeat, #f7fff0
rawlambloin, #f46c6c
rawllamameat, #fff2f1
rawlucyaxolotlmeat, #ffffff
rawocelotmeat, #ffffff
rawpandameat, #fff4f1
rawsalmon, #fffff2
rawstridermeat, #ffffff
rawwildaxolotlmeat, #ffffff
rawwitchmeat, #ffffff
redcat, #ffffee
redcatfur, #ffffff
rib_steak, #bcaa9e
rump_steak, #bbaca2
salt, #ffffff
sausagefillerattachment, #fffff1
sausages, #ffdcdd
scraps, #fffcf1
shavedcamelcarcassitem, #f5d7bf
sheep_skin, #fffae7
shorthaircatfur, #ffffff
shulkermeat, #fffff5
siamesecat, #ffffff
siamesecatfur, #ffffff
silverfishchunks, #ffffff
sirloin_steak, #e7d0bf
skeletoncorpse, #f0eeee
skinned_cow_corpse, #6c1b1b
skinned_hanging_cow, #6c1b1b
skinnedhorsecarcassitem, #b99797
skinning_knife, #ffffff
skinningknifeblade, #ffffff
slime_jelly_chunks, #ffffff
slimecarcass, #8df573
sniffercarcass, #78462f
snifferfur, #c29a91
sniffermeat, #ffe0dd
snowyfoxfur, #ffffff
sortinghat, #e4e0e0
spidercarcass, #51443c
spiderleg, #a09a93
spikeddragonbone, #ffffff
sponge, #ffffe4
stomach, #ffd9ca
straynecklace_chestplate, #dadcdd
stridercarcass, #b88a8d
sulfur, #ffffe4
sulfuricacid, #ffffff
suspiciousmeat, #edd7cd
tabbycat, #fffced
tabbycatfur, #ffffff
tbonesteak, #e7dad3
tentacle, #ffffff
the_helper_egg, #fff7ff
turtle_meat, #fcffed
turtle_shell_fragment, #cfffdc
tuxedocatfur, #fcfbff
unfiredcleavermold, #ebffff
unfiredpliermould, #eeffff
unfiredskinningknifeblademold, #e6fbff
villager_meat, #ffbba1
villagerbrain, #ffe6f4
wet_rag, #ffffff
wet_sponge, #ffffe1
white_llama_skin, #ffffff
whitecat, #ffffff
whitecatfur, #ffffff
whitehorseskin, #ffffff
wildaxolotlcarcass, #ffffff
wishbone, #ffffff
witcharmor_chestplate, #a794be
witcharmor_helmet, #e6e3e3
witchcorpse, #5f4d58
witchmeat, #fff1e4
witherbone, #b2b2b2
witherbonemeal, #909091
witheredheart, #aaaaaa
witherskeletoncorpse, #343636
wolfcarcass, #ffffff
wolffur, #ffffff
wolffursuit_boots, #f5f1ee
wolffursuit_chestplate, #9e968a
wolffursuit_helmet, #ffffff
wolffursuit_leggings, #dcd7d2
wolfmeat, #ffffff
wolfskeleton, #a5756e
zombiecorpse, #ffffff
zombiepiglincorpse, #f5a28d
zombievillagercorpse, #f2fae6
