// Compost colors for industrialupgrade. You may add your own colors, change existing ones, or remove colors that aren't needed.
additionmodule/charger, #ebeba8
alloydoubleplate/superalloy_rene, #ffffa8
alloydoubleplate/tantalum_tungsten_hafnium, #8acdc2
alloydoubleplate/vanadoalumite, #ffb44e
alloydoubleplate/vitalium, #43afb1
alloydoubleplate/woods, #a4977d
alloydoubleplate/yttrium_aluminium_garnet, #ff89ae
alloydoubleplate/zeliber, #ffdda8
alloydust/alcled, #9dd220
alloydust/alumel, #ffe361
alloydust/aluminium_lithium_alloy, #c56693
alloydust/aluminium_silicon, #6b616f
alloydust/aluminum_bronze, #ead39e
alloydust/beryllium_bronze, #bfa766
alloydust/cobalt_chrome, #b7075
alloydust/duralumin, #8d2976
alloydust/ferromanganese, #9883b8
alloydust/gallium_arsenic, #b5830b
alloydust/hafnium_boride_alloy, #809ea4
alloydust/hafnium_carbide, #2390b8
alloydust/inconel, #a8dc3d
alloydust/molybdenum_steel, #d48eff
alloydust/muntsa, #ab9804
alloydust/nichrome, #d0b9ab
alloydust/nimonic, #7c5e66
alloydust/niobium_titanium, #f86ca
alloydust/nitenol, #c5a264
alloydust/osmiridium, #84b6e6
alloydust/permalloy, #8c805f
alloydust/red_brass, #fc5b5c
alloydust/stainless_steel, #7d83a7
alloydust/stellite, #eb8a7
alloydust/superalloy_haynes, #ffc8a5
alloydust/superalloy_rene, #fffba5
alloydust/tantalum_tungsten_hafnium, #89c9bf
alloydust/vanadoalumite, #ffb550
alloydust/vitalium, #44afb1
alloydust/woods, #a1947c
alloydust/yttrium_aluminium_garnet, #ff84ab
alloydust/zeliber, #fed9a5
alloygear/alcled, #8dbe18
alloygear/alumel, #ffe365
alloygear/aluminium_lithium_alloy, #cf699a
alloygear/aluminium_silicon, #726678
alloygear/aluminum_bronze, #e1cc9d
alloygear/beryllium_bronze, #d0b56b
alloygear/cobalt_chrome, #a767c
alloygear/duralumin, #912a7a
alloygear/ferromanganese, #9682bb
alloygear/gallium_arsenic, #cc9104
alloygear/hafnium_boride_alloy, #83a4aa
alloygear/hafnium_carbide, #23a0cd
alloygear/inconel, #b1e437
alloygear/molybdenum_steel, #e08aff
alloygear/muntsa, #a19300
alloygear/nichrome, #d2b9aa
alloygear/nimonic, #806169
alloygear/niobium_titanium, #e91dd
alloygear/nitenol, #deb66b
alloygear/osmiridium, #80b6e6
alloygear/permalloy, #978a66
alloygear/red_brass, #f55455
alloygear/stainless_steel, #bfc6fe
alloygear/stellite, #fcfb9
alloygear/superalloy_haynes, #ffc8a0
alloygear/superalloy_rene, #ffffa0
alloygear/tantalum_tungsten_hafnium, #91dacc
alloygear/vanadoalumite, #ffb452
alloygear/vitalium, #43afb2
alloygear/woods, #afa287
alloygear/yttrium_aluminium_garnet, #ff83aa
alloygear/zeliber, #ffdca5
alloyingot/alcled, #a2d922
alloyingot/alumel, #ffed66
alloyingot/aluminium_lithium_alloy, #e078aa
alloyingot/aluminium_silicon, #736878
alloyingot/aluminum_bronze, #f0daa4
alloyingot/beryllium_bronze, #d0b46c
alloyingot/cobalt_chrome, #a7c7f
alloyingot/duralumin, #912c7d
alloyingot/ferromanganese, #9e89bf
alloyingot/gallium_arsenic, #ca8d04
alloyingot/hafnium_boride_alloy, #89aaaf
alloyingot/hafnium_carbide, #259bc6
alloyingot/inconel, #b1ed40
alloyingot/molybdenum_steel, #f0a0ff
alloyingot/muntsa, #b19d04
alloyingot/nichrome, #d7c0b1
alloyingot/nimonic, #84646e
alloyingot/niobium_titanium, #1193de
alloyingot/nitenol, #d7b26c
alloyingot/osmiridium, #91c9f8
alloyingot/permalloy, #968966
alloyingot/red_brass, #ff5f61
alloyingot/stainless_steel, #8a90b5
alloyingot/stellite, #cc9b2
alloyingot/superalloy_haynes, #ffdcb6
alloyingot/superalloy_rene, #ffffb6
alloyingot/tantalum_tungsten_hafnium, #93dacc
alloyingot/vanadoalumite, #ffbe52
alloyingot/vitalium, #47b8b9
alloyingot/woods, #ac9e83
alloyingot/yttrium_aluminium_garnet, #ff93b8
alloyingot/zeliber, #ffe7af
alloynugget/alcled, #ffffff
alloynugget/alumel, #ffffff
alloynugget/aluminium_lithium_alloy, #dc7fac
alloynugget/aluminium_silicon, #a18686
alloynugget/aluminum_bronze, #ffffff
alloynugget/beryllium_bronze, #cfb572
alloynugget/cobalt_chrome, #159a9d
alloynugget/duralumin, #ffffff
alloynugget/ferromanganese, #ffffff
alloynugget/gallium_arsenic, #cc9b05
alloynugget/hafnium_boride_alloy, #a2a49b
alloynugget/hafnium_carbide, #309bc3
alloynugget/inconel, #b5cc52
alloynugget/molybdenum_steel, #cc84ff
alloynugget/muntsa, #ffffff
alloynugget/nichrome, #ffffff
alloynugget/nimonic, #b28683
alloynugget/niobium_titanium, #b87cd
alloynugget/nitenol, #cca872
alloynugget/osmiridium, #9accff
alloynugget/permalloy, #aba182
alloynugget/red_brass, #ffffff
alloynugget/stainless_steel, #d4c8d2
alloynugget/stellite, #44bca0
alloynugget/superalloy_haynes, #ffd9ac
alloynugget/superalloy_rene, #ffed90
alloynugget/tantalum_tungsten_hafnium, #aec9b6
alloynugget/vanadoalumite, #ffffff
alloynugget/vitalium, #ffffff
alloynugget/woods, #b19879
alloynugget/yttrium_aluminium_garnet, #ff80a2
alloynugget/zeliber, #f5c694
alloyplate/alcled, #a1d623
alloyplate/alumel, #ffe765
alloyplate/aluminium_lithium_alloy, #cf6c9b
alloyplate/aluminium_silicon, #726676
alloyplate/aluminum_bronze, #edd7a1
alloyplate/beryllium_bronze, #cab16c
alloyplate/cobalt_chrome, #b7a7d
alloyplate/duralumin, #902c7c
alloyplate/ferromanganese, #9b86bb
alloyplate/gallium_arsenic, #c28c08
alloyplate/hafnium_boride_alloy, #87a7ab
alloyplate/hafnium_carbide, #2598c2
alloyplate/inconel, #aee643
alloyplate/molybdenum_steel, #e09bff
alloyplate/muntsa, #af9b04
alloyplate/nichrome, #d4beaf
alloyplate/nimonic, #83626e
alloyplate/niobium_titanium, #1290d6
alloyplate/nitenol, #d0ae6b
alloyplate/osmiridium, #8dc2f0
alloyplate/permalloy, #918665
alloyplate/red_brass, #ff5f5e
alloyplate/stainless_steel, #787d9d
alloyplate/stellite, #fc2ae
alloyplate/superalloy_haynes, #ffd3b1
alloyplate/superalloy_rene, #ffffb1
alloyplate/tantalum_tungsten_hafnium, #91d3c6
alloyplate/vanadoalumite, #ffb952
alloyplate/vitalium, #46b4b6
alloyplate/woods, #ab9d82
alloyplate/yttrium_aluminium_garnet, #ff8eb4
alloyplate/zeliber, #ffe3ac
analyzermodule, #bbb1b1
antiairpollution, #a4e4e3
antiairpollution1, #a7e4b1
antisoilpollution, #b6d7be
antisoilpollution1, #b9d78c
apatite_cube, #76f8ff
armour/adv_lappack, #707583
armour/adv_nano_boots, #2c2f37
armour/adv_nano_chestplate, #32343e
armour/adv_nano_helmet, #39445f
armour/adv_nano_leggings, #2d2f36
armour/advanced_batpack, #9e3c0a
armour/advanced_solar_helmet, #483418
armour/advjetpack, #737c7d
armour/batpack, #69502f
armour/bronze_boots, #ed8c46
armour/bronze_chestplate, #ffae5f
armour/bronze_helmet, #e3803c
armour/bronze_leggings, #f18e48
armour/hazmat_chestplate, #fffc14
armour/hazmat_helmet, #9b910a
armour/hazmat_leggings, #ffff12
armour/hazmatboosts, #c6b8d
armour/hazmatchest, #15a2d9
armour/hazmathelmet, #a5a76
armour/hazmatleggins, #14aee8
armour/hybrid_solar_helmet, #9d9aa8
armour/imp_lappack, #828c75
armour/impjetpack, #5a6e73
armour/jetpack, #868693
armour/lappack, #878996
armour/nano_boots, #3a2d2c
armour/nano_chestplate, #403030
armour/nano_helmet, #5e2a2a
armour/nano_leggings, #392d2d
armour/nightvision_goggles, #2d7c3c
armour/per_lappack, #586691
armour/perjetpack, #585b6b
armour/quantum_boots, #a1a4ab
armour/quantum_chestplate, #eaedf7
armour/quantum_helmet, #afbfee
armour/quantum_leggings, #e3e6ed
armour/rubber_boots, #aa9d0b
armour/ruby_boots, #f15f46
armour/ruby_chestplate, #ff7d5e
armour/ruby_helmet, #e6543c
armour/ruby_leggings, #f76147
armour/sapphire_boots, #3d65ca
armour/sapphire_chestplate, #527af8
armour/sapphire_helmet, #365cbe
armour/sapphire_leggings, #4066d3
armour/singular_solar_helmet, #967f97
armour/spectral_boots, #8e7984
armour/spectral_chestplate, #f2d2e3
armour/spectral_helmet, #f4abc2
armour/spectral_leggings, #f2d4e6
armour/spectral_solar_helmet, #ab8e93
armour/topaz_boots, #e3bf34
armour/topaz_chestplate, #ffea4a
armour/topaz_helmet, #d6b42c
armour/topaz_leggings, #edc836
armour/ultimate_solar_helmet, #9a9da0
armour/volcano_hazmat_chestplate, #7c5c4b
armour/volcano_hazmat_helmet, #554748
armour/volcano_hazmat_leggings, #7c5b48
armour/volcano_rubber_boots, #825e48
autoheater, #d65ebf
bags/adv_iu_bags, #797315
bags/imp_iu_bags, #700e0c
bags/iu_bags, #938782
bags/lead_box, #cddca2
battery/advanced_charging_re_battery, #737a86
battery/advanced_re_battery, #b44d15
battery/charging_energy_crystal, #737986
battery/charging_lapotron_crystal, #727989
battery/charging_re_battery, #727a86
battery/creative_battery, #d922a4
battery/creative_battery_wireless, #da93e3
battery/energy_crystal, #dd5c5c
battery/itemadvbatchargecrystal, #82685a
battery/itembatchargecrystal, #8087ac
battery/itembatlamacrystal, #c5fcca
battery/lapotron_crystal, #7864c9
battery/re_battery, #a24d76
bee_frame_template, #fffcaf
bee_genome/bee_genome_air_i, #b6bcac
bee_genome/bee_genome_air_ii, #a7a887
bee_genome/bee_genome_air_iii, #a1a17a
bee_genome/bee_genome_biome, #b6bca2
bee_genome/bee_genome_birth_i, #fffff7
bee_genome/bee_genome_birth_ii, #fffffa
bee_genome/bee_genome_birth_iii, #fffffa
bee_genome/bee_genome_food_i, #e3c9af
bee_genome/bee_genome_food_ii, #eac38d
bee_genome/bee_genome_food_iii, #edc282
bee_genome/bee_genome_genome_adaptive_i, #e6c9d3
bee_genome/bee_genome_genome_adaptive_ii, #ebbbbc
bee_genome/bee_genome_genome_adaptive_iii, #edb5b4
bee_genome/bee_genome_genome_resistance_i, #fff2f5
bee_genome/bee_genome_genome_resistance_ii, #fffef8
bee_genome/bee_genome_genome_resistance_iii, #fffff8
bee_genome/bee_genome_hardening_i, #c6cce0
bee_genome/bee_genome_hardening_ii, #c6cfe0
bee_genome/bee_genome_hardening_iii, #c3cddd
bee_genome/bee_genome_jelly_i, #ffd6b4
bee_genome/bee_genome_jelly_ii, #ffd78c
bee_genome/bee_genome_jelly_iii, #ffd77a
bee_genome/bee_genome_mortality_i, #d4c5c5
bee_genome/bee_genome_mortality_ii, #d4bbac
bee_genome/bee_genome_mortality_iii, #d3b5a1
bee_genome/bee_genome_night, #ccd3ed
bee_genome/bee_genome_pest_i, #ffb4c3
bee_genome/bee_genome_pest_ii, #ffa1ac
bee_genome/bee_genome_pest_iii, #ff9aa2
bee_genome/bee_genome_population_i, #9ad7e4
bee_genome/bee_genome_population_ii, #70d4d6
bee_genome/bee_genome_population_iii, #61d3d0
bee_genome/bee_genome_product_i, #cfa0b1
bee_genome/bee_genome_product_ii, #ca798a
bee_genome/bee_genome_product_iii, #ca6c7a
bee_genome/bee_genome_radiation_i, #b6c9ac
bee_genome/bee_genome_radiation_ii, #abc989
bee_genome/bee_genome_radiation_iii, #a7c97a
bee_genome/bee_genome_radius_i, #9aafe4
bee_genome/bee_genome_radius_ii, #7a9ae1
bee_genome/bee_genome_radius_iii, #6f91e0
bee_genome/bee_genome_soil_i, #d3e6e7
bee_genome/bee_genome_soil_ii, #dcf7ee
bee_genome/bee_genome_soil_iii, #defcf1
bee_genome/bee_genome_sun, #ffffb9
bee_genome/bee_genome_swarm_i, #d2b9b4
bee_genome/bee_genome_swarm_ii, #d9b290
bee_genome/bee_genome_swarm_iii, #dcae83
bee_genome/bee_genome_weather_i, #b8ccff
bee_genome/bee_genome_weather_ii, #96aaee
bee_pollen, #ffffff
beeswax, #ffffcd
book/guide_book, #3d3e41
capacitor/adv_capacitor, #202020
capacitor/imp_capacitor, #848d97
capacitor/per_capacitor, #5c516b
capacitor/simple_capacitor, #838383
casing/adamantite, #dc4112
casing/aluminium, #c28ac5
casing/arsenic, #a1c22c
casing/barium, #dabc2a
casing/bismuth, #3a9dd7
casing/bloodstone, #de1f50
casing/bronze, #f89d47
casing/cadmium, #a06eb8
casing/caravky, #7f4e20
casing/chromium, #5cc25c
casing/cobalt, #11aefb
casing/copper, #fb8258
casing/draconid, #f45c4e
casing/electrium, #ffeb29
casing/gadolinium, #c66e14
casing/gallium, #fea532
casing/germanium, #905a26
casing/gold, #fff064
casing/hafnium, #96afd0
casing/invar, #a7a4a4
casing/iridium, #caf8fa
casing/iron, #ebebeb
casing/lead, #d2deb4
casing/magnesium, #ffd2f2
casing/manganese, #ff7db5
casing/meteoric_iron, #ab9378
casing/mikhail, #82ffff
casing/molybdenum, #8e66de
casing/mythril, #19e1c8
casing/neodymium, #dd7cff
casing/nickel, #fff5a0
casing/niobium, #256fb1
casing/orichalcum, #a719bb
casing/osmium, #58ffff
casing/palladium, #e46820
casing/platium, #69b1ff
casing/polonium, #44a0ee
casing/silver, #cfe8ed
casing/spinel, #f769c0
casing/steel, #b4daf1
casing/strontium, #c06932
casing/tantalum, #90a148
casing/thallium, #70bf50
casing/tin, #ffffff
casing/titanium, #626269
casing/vanady, #cac986
casing/wolfram, #bbbbbb
casing/yttrium, #ff5e5a
casing/zinc, #b5ac9d
casing/zirconium, #b8801e
charged_quartz, #5cd0ff
charged_redstone, #338dac
chemistry/adv_anode, #bbb1b1
chemistry/adv_cathode, #c0b298
chemistry/anode, #c6b1b1
chemistry/cathode, #d4ab73
circuit/advanced_part1, #ace0f8
circuit/advanced_part2, #c0ddf0
circuit/advanced_part3, #d6fcff
circuit/circuit_part1, #fafafa
circuit/circuit_part2, #fcebeb
circuit/circuit_part3, #ffffff
circuit/nanocircuit, #dca7a7
circuit/nanocircuit_part1, #6f6f6f
circuit/nanocircuit_part2, #655454
circuit/nanocircuit_part3, #8e8e8e
circuit/photon_part1, #daffa5
circuit/photon_part2, #e0ffbb
circuit/photon_part3, #f7ffd0
circuit/photoncircuit, #fcfff4
circuit/quantumcircuit, #ffffff
circuit/quantumcircuit_part1, #ffffff
circuit/quantumcircuit_part2, #ffffff
circuit/quantumcircuit_part3, #ffffff
circuit/spectralcircuit, #ffffea
circuit/spectralcircuit_part1, #ffb4b4
circuit/spectralcircuit_part2, #ffcdc5
circuit/spectralcircuit_part3, #ffdede
coal_chunk, #36393e
compresscarbon, #303030
compresscarbonultra, #94937f
compressed_redstone, #da0500
connect_item, #397936
cooling_mixture, #62e8e8
corewater/core_wind, #c29a5b
corewater/core_wind1, #d2833a
corewater/core_wind10, #36c223
corewater/core_wind11, #b825cc
corewater/core_wind12, #14cddc
corewater/core_wind13, #1cd2c8
corewater/core_wind2, #c5c5c5
corewater/core_wind3, #87909b
corewater/core_wind4, #2f2f2f
corewater/core_wind5, #ffffff
corewater/core_wind6, #dcdcdc
corewater/core_wind7, #ddae2a
corewater/core_wind8, #6b16c8
corewater/core_wind9, #1f4ec8
corewind/core_wind, #c29a5b
corewind/core_wind1, #d2833a
corewind/core_wind10, #36c223
corewind/core_wind11, #b825cc
corewind/core_wind12, #14cddc
corewind/core_wind13, #1cd2c8
corewind/core_wind2, #c5c5c5
corewind/core_wind3, #87909b
corewind/core_wind4, #2f2f2f
corewind/core_wind5, #ffffff
corewind/core_wind6, #dcdcdc
corewind/core_wind7, #ddae2a
corewind/core_wind8, #6b16c8
corewind/core_wind9, #1f4ec8
corn, #ffff1f
crafting_elements/crafting_0_element, #23d0ff
crafting_elements/crafting_100_element, #bfc5e4
crafting_elements/crafting_101_element, #b6daff
crafting_elements/crafting_102_element, #b65ce6
crafting_elements/crafting_103_element, #c258e8
crafting_elements/crafting_104_element, #de47ff
crafting_elements/crafting_105_element, #a769ff
crafting_elements/crafting_106_element, #f280aa
crafting_elements/crafting_107_element, #bc66ff
crafting_elements/crafting_108_element, #c870c0
crafting_elements/crafting_109_element, #ed68ff
crafting_elements/crafting_10_element, #d7e18c
crafting_elements/crafting_110_element, #a484d7
crafting_elements/crafting_111_element, #d66eff
crafting_elements/crafting_112_element, #e7fbff
crafting_elements/crafting_113_element, #da68d2
crafting_elements/crafting_114_element, #d765ac
crafting_elements/crafting_115_element, #f15ff8
crafting_elements/crafting_116_element, #9630aa
crafting_elements/crafting_117_element, #c53cea
crafting_elements/crafting_118_element, #c351d0
crafting_elements/crafting_119_element, #c07ddd
crafting_elements/crafting_11_element, #ffe7cf
crafting_elements/crafting_120_element, #e83dd6
crafting_elements/crafting_121_element, #ebffff
crafting_elements/crafting_122_element, #e7e7e7
crafting_elements/crafting_123_element, #f5f5f5
crafting_elements/crafting_124_element, #c5f2e6
crafting_elements/crafting_125_element, #fbc95a
crafting_elements/crafting_126_element, #548dfa
crafting_elements/crafting_127_element, #bf4ded
crafting_elements/crafting_128_element, #ccae9d
crafting_elements/crafting_129_element, #e7a547
crafting_elements/crafting_12_element, #ffe372
crafting_elements/crafting_130_element, #767db4
crafting_elements/crafting_131_element, #be54ab
crafting_elements/crafting_132_element, #ede4de
crafting_elements/crafting_133_element, #ffd75a
crafting_elements/crafting_134_element, #689bff
crafting_elements/crafting_135_element, #e7e66f
crafting_elements/crafting_136_element, #da57f7
crafting_elements/crafting_137_element, #eafcff
crafting_elements/crafting_138_element, #ffff64
crafting_elements/crafting_139_element, #78d3ff
crafting_elements/crafting_13_element, #ffdd43
crafting_elements/crafting_140_element, #ff83ff
crafting_elements/crafting_141_element, #7ab8b9
crafting_elements/crafting_142_element, #6eaef7
crafting_elements/crafting_143_element, #cd4314
crafting_elements/crafting_144_element, #c5e4c3
crafting_elements/crafting_145_element, #c0bcff
crafting_elements/crafting_146_element, #4dafff
crafting_elements/crafting_147_element, #cdffff
crafting_elements/crafting_148_element, #fff8c2
crafting_elements/crafting_149_element, #b2b1b1
crafting_elements/crafting_14_element, #ffc33c
crafting_elements/crafting_150_element, #ffb2bb
crafting_elements/crafting_151_element, #ffc6f8
crafting_elements/crafting_152_element, #dab9fc
crafting_elements/crafting_153_element, #bbf0ae
crafting_elements/crafting_154_element, #bcbcbc
crafting_elements/crafting_155_element, #e6e6ff
crafting_elements/crafting_156_element, #c88689
crafting_elements/crafting_157_element, #b473fb
crafting_elements/crafting_158_element, #dce0e3
crafting_elements/crafting_159_element, #d0d3d4
crafting_elements/crafting_15_element, #ffea52
crafting_elements/crafting_160_element, #f2c357
crafting_elements/crafting_161_element, #5189f2
crafting_elements/crafting_162_element, #b94ae6
crafting_elements/crafting_163_element, #dadcde
crafting_elements/crafting_164_element, #9b9b9b
crafting_elements/crafting_165_element, #dddddd
crafting_elements/crafting_166_element, #ffd469
crafting_elements/crafting_167_element, #699dff
crafting_elements/crafting_168_element, #cf61f5
crafting_elements/crafting_169_element, #edeae7
crafting_elements/crafting_16_element, #b68743
crafting_elements/crafting_170_element, #c6d4d7
crafting_elements/crafting_171_element, #e4ca7a
crafting_elements/crafting_172_element, #689ef1
crafting_elements/crafting_173_element, #b66fe7
crafting_elements/crafting_174_element, #a7b8bf
crafting_elements/crafting_175_element, #f28cb6
crafting_elements/crafting_176_element, #ffe34e
crafting_elements/crafting_177_element, #559aff
crafting_elements/crafting_178_element, #b266ff
crafting_elements/crafting_179_element, #e4cd90
crafting_elements/crafting_17_element, #ffb15b
crafting_elements/crafting_180_element, #ffc080
crafting_elements/crafting_181_element, #ffbc76
crafting_elements/crafting_182_element, #ffbe7a
crafting_elements/crafting_183_element, #ffbe78
crafting_elements/crafting_184_element, #505050
crafting_elements/crafting_185_element, #6f6f6f
crafting_elements/crafting_186_element, #6c6c6c
crafting_elements/crafting_187_element, #6c6c6c
crafting_elements/crafting_188_element, #b889af
crafting_elements/crafting_189_element, #b280ab
crafting_elements/crafting_18_element, #ffbc50
crafting_elements/crafting_190_element, #b17aa8
crafting_elements/crafting_191_element, #ae78a4
crafting_elements/crafting_192_element, #bf62ac
crafting_elements/crafting_193_element, #bf62ac
crafting_elements/crafting_194_element, #ca66b2
crafting_elements/crafting_195_element, #9d4397
crafting_elements/crafting_196_element, #a8abc2
crafting_elements/crafting_197_element, #5279da
crafting_elements/crafting_198_element, #9b50d2
crafting_elements/crafting_199_element, #c5a26e
crafting_elements/crafting_19_element, #faf151
crafting_elements/crafting_1_element, #e8c36b
crafting_elements/crafting_200_element, #9a9a9a
crafting_elements/crafting_201_element, #54588a
crafting_elements/crafting_202_element, #55acff
crafting_elements/crafting_203_element, #b970ff
crafting_elements/crafting_204_element, #eee383
crafting_elements/crafting_205_element, #cceefa
crafting_elements/crafting_206_element, #d4ccb4
crafting_elements/crafting_207_element, #dde1d6
crafting_elements/crafting_208_element, #e6c2b6
crafting_elements/crafting_209_element, #ebeab9
crafting_elements/crafting_20_element, #ffc826
crafting_elements/crafting_210_element, #bfc6d9
crafting_elements/crafting_211_element, #e6deb5
crafting_elements/crafting_212_element, #c0e1b9
crafting_elements/crafting_213_element, #dcddd0
crafting_elements/crafting_214_element, #e6e8b1
crafting_elements/crafting_215_element, #c2e6dc
crafting_elements/crafting_216_element, #d6cfb2
crafting_elements/crafting_217_element, #f0eeea
crafting_elements/crafting_218_element, #ffda96
crafting_elements/crafting_219_element, #d0d2d6
crafting_elements/crafting_21_element, #ffffff
crafting_elements/crafting_220_element, #a2a4b1
crafting_elements/crafting_221_element, #4e89f5
crafting_elements/crafting_222_element, #f475a7
crafting_elements/crafting_223_element, #bb48eb
crafting_elements/crafting_224_element, #ffd037
crafting_elements/crafting_225_element, #f2c355
crafting_elements/crafting_226_element, #dacfcc
crafting_elements/crafting_227_element, #c5c5c5
crafting_elements/crafting_228_element, #f5b18c
crafting_elements/crafting_229_element, #b9b8bf
crafting_elements/crafting_22_element, #ffdc9a
crafting_elements/crafting_230_element, #fbf2da
crafting_elements/crafting_231_element, #ccc8c8
crafting_elements/crafting_232_element, #82a1f1
crafting_elements/crafting_233_element, #ee61e7
crafting_elements/crafting_234_element, #ffda51
crafting_elements/crafting_235_element, #ffe65b
crafting_elements/crafting_236_element, #ede8cc
crafting_elements/crafting_237_element, #caeadc
crafting_elements/crafting_238_element, #e6e6e6
crafting_elements/crafting_239_element, #d9d498
crafting_elements/crafting_23_element, #5eaeff
crafting_elements/crafting_240_element, #a787a4
crafting_elements/crafting_241_element, #b8bec3
crafting_elements/crafting_242_element, #dcd6a5
crafting_elements/crafting_243_element, #d9bca2
crafting_elements/crafting_244_element, #cfcfcf
crafting_elements/crafting_245_element, #5183e0
crafting_elements/crafting_246_element, #7096c8
crafting_elements/crafting_247_element, #ca64b9
crafting_elements/crafting_248_element, #d7b45e
crafting_elements/crafting_249_element, #ffcc3c
crafting_elements/crafting_24_element, #f254ff
crafting_elements/crafting_250_element, #d9cfc3
crafting_elements/crafting_251_element, #b5b5b5
crafting_elements/crafting_252_element, #659eff
crafting_elements/crafting_253_element, #849edc
crafting_elements/crafting_254_element, #ca61f8
crafting_elements/crafting_255_element, #cd75d3
crafting_elements/crafting_256_element, #ffd46c
crafting_elements/crafting_257_element, #f7c66f
crafting_elements/crafting_258_element, #e7e0e3
crafting_elements/crafting_259_element, #91affb
crafting_elements/crafting_25_element, #fffb5f
crafting_elements/crafting_260_element, #da86f2
crafting_elements/crafting_261_element, #ffd78e
crafting_elements/crafting_262_element, #d6dcde
crafting_elements/crafting_263_element, #e4e6e7
crafting_elements/crafting_264_element, #dde0e4
crafting_elements/crafting_265_element, #d9dce0
crafting_elements/crafting_266_element, #e6bcbb
crafting_elements/crafting_267_element, #ccd0d6
crafting_elements/crafting_268_element, #e0eaff
crafting_elements/crafting_269_element, #abc6ff
crafting_elements/crafting_26_element, #ebeeff
crafting_elements/crafting_270_element, #b8dcff
crafting_elements/crafting_271_element, #505050
crafting_elements/crafting_272_element, #fffafa
crafting_elements/crafting_273_element, #ffffff
crafting_elements/crafting_274_element, #9e9d87
crafting_elements/crafting_275_element, #e7e7e7
crafting_elements/crafting_276_element, #afa196
crafting_elements/crafting_277_element, #a46e3a
crafting_elements/crafting_278_element, #ab9683
crafting_elements/crafting_279_element, #afa091
crafting_elements/crafting_27_element, #cdeaff
crafting_elements/crafting_280_element, #2d2d2d
crafting_elements/crafting_281_element, #3c3c3c
crafting_elements/crafting_282_element, #363636
crafting_elements/crafting_283_element, #191919
crafting_elements/crafting_284_element, #f59850
crafting_elements/crafting_285_element, #a8c9c2
crafting_elements/crafting_286_element, #393a43
crafting_elements/crafting_287_element, #5a340f
crafting_elements/crafting_288_element, #bb9625
crafting_elements/crafting_289_element, #b6b6b6
crafting_elements/crafting_28_element, #c9caca
