// Compost colors for integrated_simply_swords. You may add your own colors, change existing ones, or remove colors that aren't needed.
born_in_chaos/dark_metal/chakram, #615f6b
iceandfire/dragonsteel_fire/katana, #766b5e
iceandfire/dragonsteel_fire/longsword, #8a795f
iceandfire/dragonsteel_fire/rapier, #786957
iceandfire/dragonsteel_fire/sai, #46434b
iceandfire/dragonsteel_fire/scythe, #e7bb6c
iceandfire/dragonsteel_fire/spear, #756655
iceandfire/dragonsteel_fire/twinblade, #9a8464
iceandfire/dragonsteel_fire/warglaive, #fffc80
iceandfire/dragonsteel_ice/chakram, #94a5b6
iceandfire/dragonsteel_ice/claymore, #91a5b5
iceandfire/dragonsteel_ice/cutlass, #97b2c3
iceandfire/dragonsteel_ice/glaive, #768c9a
iceandfire/dragonsteel_ice/greataxe, #98d4e6
iceandfire/dragonsteel_ice/halberd, #a7c6d0
iceandfire/dragonsteel_ice/katana, #869dac
iceandfire/dragonsteel_ice/longsword, #7c94a2
iceandfire/dragonsteel_ice/rapier, #7c97a5
iceandfire/dragonsteel_ice/sai, #5f6b78
iceandfire/dragonsteel_ice/scythe, #96cfdc
iceandfire/dragonsteel_ice/spear, #708796
iceandfire/dragonsteel_ice/twinblade, #96b8c8
iceandfire/dragonsteel_ice/warglaive, #c6ffff
iceandfire/dragonsteel_lightning/chakram, #654d70
iceandfire/dragonsteel_lightning/claymore, #735e80
iceandfire/dragonsteel_lightning/cutlass, #90769a
iceandfire/dragonsteel_lightning/glaive, #735f7f
iceandfire/dragonsteel_lightning/greataxe, #daaff1
iceandfire/dragonsteel_lightning/halberd, #c8b2d4
iceandfire/dragonsteel_lightning/katana, #7a6584
iceandfire/dragonsteel_lightning/longsword, #7d6886
iceandfire/dragonsteel_lightning/rapier, #796183
iceandfire/dragonsteel_lightning/sai, #4e4155
iceandfire/dragonsteel_lightning/scythe, #cfabe6
iceandfire/dragonsteel_lightning/spear, #736180
iceandfire/dragonsteel_lightning/twinblade, #967aa4
iceandfire/dragonsteel_lightning/warglaive, #ffe4ff
iceandfire/myrmex_desert/chakram, #a16f2d
iceandfire/myrmex_desert/claymore, #866430
iceandfire/myrmex_desert/cutlass, #75623c
iceandfire/myrmex_desert/glaive, #756239
iceandfire/myrmex_desert/greataxe, #866530
iceandfire/myrmex_desert/halberd, #78623a
iceandfire/myrmex_desert/katana, #89622a
iceandfire/myrmex_desert/longsword, #7c6236
iceandfire/myrmex_desert/rapier, #6c5e37
iceandfire/myrmex_desert/sai, #645f44
iceandfire/myrmex_desert/scythe, #876839
iceandfire/myrmex_desert/spear, #70613c
iceandfire/myrmex_desert/twinblade, #7d6233
iceandfire/myrmex_desert/warglaive, #94652a
iceandfire/myrmex_jungle/chakram, #44a8a2
iceandfire/myrmex_jungle/claymore, #418d83
iceandfire/myrmex_jungle/cutlass, #467f73
iceandfire/myrmex_jungle/glaive, #467f73
iceandfire/myrmex_jungle/greataxe, #419086
iceandfire/myrmex_jungle/halberd, #448278
iceandfire/myrmex_jungle/katana, #3d9087
iceandfire/myrmex_jungle/longsword, #44847a
iceandfire/myrmex_jungle/rapier, #47786f
iceandfire/myrmex_jungle/sai, #4d6f64
iceandfire/myrmex_jungle/scythe, #478d82
iceandfire/myrmex_jungle/spear, #477a6f
iceandfire/myrmex_jungle/twinblade, #43867a
iceandfire/myrmex_jungle/warglaive, #3e9a91
silver/chakram, #b5c2d9
silver/claymore, #9ba5b4
silver/cutlass, #919aa5
silver/glaive, #7d786c
silver/greataxe, #a5a5a2
silver/halberd, #6c6e86
silver/katana, #aaafbb
silver/longsword, #8c94a5
silver/rapier, #707987
silver/sai, #757a84
silver/scythe, #8e9091
silver/spear, #897d69
silver/twinblade, #9da2ac
silver/warglaive, #aeb8c9
