// Compost colors for createfood. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_cheesecake, #ff9b64
butterscotch_chip_chocolate_milkshake_bottle, #f0c9c9
butterscotch_chip_ice_cream_cone, #ffe09e
butterscotch_chip_milkshake_bottle, #ffffff
butterscotch_chip_mini_waffle, #ffa147
butterscotch_chip_muffin, #e8790a
butterscotch_chip_waffle, #ff9d47
butterscotch_chips, #ffcf84
butterscotch_chips_chocolate_cookie, #9b6e37
butterscotch_chips_cookie, #ffb85a
butterscotch_fudge, #ffbc73
butterscotch_fudge_bucket, #c9b18a
cacao_butter, #fff2b9
cacao_butter_bucket, #edd4bc
cacao_mass_bucket, #9b8e82
cacao_nibs, #3d2915
cake_base, #e36f2a
cake_chorus_fruit, #ffddcc
cake_glow_berry, #ffe6bb
cake_slice_chorus_fruit, #faac87
cake_slice_glow_berry, #fbb17f
cane_syrup_bucket, #c9b69a
caramel, #f86f04
caramel_apple_slice, #ffc25e
caramel_bucket, #d69d8a
caramel_chip_chocolate_milkshake_bottle, #e6bebf
caramel_chip_ice_cream_cone, #ffd697
caramel_chip_milkshake_bottle, #f8feff
caramel_chip_mini_waffle, #f78c37
caramel_chip_muffin, #e47004
caramel_chip_waffle, #ff9641
caramel_chips, #ac4805
caramel_chips_chocolate_cookie, #8d5728
caramel_chips_cookie, #ffa24a
caramel_chocolate, #e47351
caramel_chocolate_pastry_bar, #b8701e
caramel_dark_chocolate, #8c4820
caramel_fudge, #ff6e15
caramel_fudge_bucket, #c8a075
caramel_glazed_apple, #ff5a16
caramel_glazed_berries, #e87011
caramel_glazed_chocolate_sweet_roll, #eb6b32
caramel_glazed_sweet_roll, #ff8439
caramel_pastry_bar, #ffa22f
caramel_popcorn, #ffa857
caramel_toast, #c97020
caramel_white_chocolate, #ffd79e
cheese_and_beef_bun, #da9425
cheese_and_beef_bun_bacon, #bf7039
cheese_and_beef_bun_bacon_lettuce, #91703a
cheese_and_beef_bun_bacon_lettuce_tomato, #a4623c
cheese_and_beef_bun_lettuce, #7f8a2c
cheese_and_beef_bun_lettuce_tomato, #a57333
cheese_and_beef_bun_onion, #f2aa36
cheese_and_beef_bun_onion_bacon, #d08044
cheese_and_beef_bun_onion_bacon_lettuce, #9b7941
cheese_and_beef_bun_onion_lettuce, #8c9434
cheese_and_beef_bun_onion_lettuce_tomato, #ae7a3a
cheese_and_chicken_bun, #f29d20
cheese_and_chicken_bun_bacon_lettuce, #9d7539
cheese_and_chicken_bun_lettuce, #8d902a
cheese_and_chicken_bun_lettuce_tomato, #b17632
cheese_and_eggplant_bun, #d4943a
cheese_and_eggplant_bun_lettuce, #798737
cheese_and_eggplant_bun_lettuce_tomato, #a0703c
cheese_and_sausage_biscuit, #cf9025
cheese_and_sausage_biscuit_sandwich, #bf8e2d
cheese_biscuit, #ffc026
cheese_biscuit_sandwich, #deaa30
cheese_block, #ffd048
cheese_calzone, #dca066
cheese_pizza, #ffc536
cheese_pizza_slice, #fbb523
cheese_sandwich, #d39d34
cheese_slice, #ffc944
cheeseburger, #b98628
cheeseburger_bacon, #b9822d
cheeseburger_bacon_lettuce, #9b7d2a
cheeseburger_bacon_lettuce_tomato, #a0752a
cheeseburger_lettuce, #968328
cheeseburger_lettuce_tomato, #9d7a29
cheeseburger_onion, #c08c36
cheeseburger_onion_bacon, #be8430
cheeseburger_onion_bacon_lettuce, #a1822f
cheeseburger_onion_lettuce, #9d892c
cheeseburger_onion_lettuce_tomato, #a17f2c
cheeseburger_tomato, #b17a28
cheesecake, #fff7b8
cheesecake_filling_bucket, #d9d4d0
cheesecake_slice, #ffffcf
chicken_bun, #da7522
chicken_bun_bacon, #c56837
chicken_bun_bacon_lettuce, #987039
chicken_bun_cheese_bacon, #d47936
chicken_bun_cheese_tomato, #e87d30
chicken_bun_lettuce, #838228
chicken_bun_lettuce_tomato, #a86c30
chicken_bun_tomato, #d4612d
chicken_burger, #ab7322
chicken_burger_bacon, #b2732c
chicken_burger_bacon_lettuce, #a07d2a
chicken_burger_lettuce, #9a8026
chicken_burger_lettuce_tomato, #a07826
chicken_burger_tomato, #ac6e25
chicken_cheeseburger, #b98323
chicken_cheeseburger_bacon, #be8229
chicken_cheeseburger_bacon_lettuce, #a2802a
chicken_cheeseburger_lettuce, #a08628
chicken_cheeseburger_lettuce_tomato, #a57d28
chicken_cheeseburger_tomato, #bc7f25
chicken_nuggets, #f77c23
chicken_patty, #eb7522
chocolate_bottle, #e0c5cc
chocolate_chip_chocolate_milkshake_bottle, #e8bfbf
chocolate_chip_ice_cream_cone, #ffd398
chocolate_chip_milkshake_bottle, #f4feff
chocolate_chip_mini_waffle, #ea893d
chocolate_chip_muffin, #dd6e04
chocolate_chip_waffle, #fe9343
chocolate_chips, #7a4826
chocolate_chocolate_pastry, #a7661e
chocolate_cookie, #80542c
chocolate_covered_marshmallow_stick, #b17841
chocolate_cream_cake_butterscotch, #a14a12
chocolate_cream_cake_caramel, #9d430e
chocolate_cream_cake_chocolate, #98410e
chocolate_cream_cake_dark_chocolate, #97410f
chocolate_cream_cake_slice_butterscotch, #be5a23
chocolate_cream_cake_slice_caramel, #b64e1c
chocolate_cream_cake_slice_chocolate, #af4b1e
chocolate_cream_cake_slice_dark_chocolate, #ae4d1f
chocolate_cream_cake_slice_toffee, #b44e1f
chocolate_cream_cake_slice_white_chocolate, #b95826
chocolate_cream_cake_toffee, #9b430f
chocolate_cream_cake_white_chocolate, #a04814
chocolate_cream_frosted_cake, #98410e
chocolate_cream_frosted_chocolate_cupcake, #a84e28
chocolate_cream_frosted_cupcake, #eb6f3a
chocolate_cream_frosted_mini_waffle, #f17d39
chocolate_cream_frosting_bottle, #cdb2b5
chocolate_cream_frosting_bucket, #a78a75
chocolate_cupcake_base, #7a4823
chocolate_donut_base, #a05f28
chocolate_donut_hole, #9d3704
chocolate_donut_hole_sugar, #bf5a28
chocolate_donut_sugar, #f4b982
chocolate_frosted_chocolate_sweet_roll, #b55726
chocolate_frosted_sweet_roll, #e3722d
chocolate_fudge, #a15029
chocolate_fudge_bucket, #bb968a
chocolate_glazed_apple, #dc5f39
chocolate_glazed_chocolate_donut, #bb6829
chocolate_glazed_donut, #e0802d
chocolate_graham_cracker, #943700
chocolate_graham_cracker_apple_ice_cream, #e8d386
chocolate_graham_cracker_berry_ice_cream, #f2a4ac
chocolate_graham_cracker_chocolate_ice_cream, #862c00
chocolate_graham_cracker_chorus_fruit_ice_cream, #f7b2c5
chocolate_graham_cracker_crumbs, #c67c5c
chocolate_graham_cracker_glow_berry_ice_cream, #e7b462
chocolate_graham_cracker_ice_cream, #d7b69e
chocolate_graham_cracker_melon_ice_cream, #ff96a2
chocolate_graham_cracker_neapolitan_scoop_1, #7d2d00
chocolate_graham_cracker_neapolitan_scoop_2, #945b3a
chocolate_graham_cracker_neapolitan_scoop_3, #af735f
chocolate_graham_cracker_pie_crust, #914d34
chocolate_ice_cream_bowl, #9d511b
chocolate_ice_cream_bucket, #bf9687
chocolate_ice_cream_cone, #d95c19
chocolate_ice_cream_sandwich, #822f00
chocolate_ice_cream_stick, #73481b
chocolate_milk_bottle, #fbdae3
chocolate_milk_bucket, #b9aba8
chocolate_milkshake_bottle, #f0c6c8
chocolate_milkshake_bucket, #c8a89e
chocolate_pastry, #ffa030
chocolate_pastry_bar_base, #ab662c
chocolate_pastry_base, #ab662c
chocolate_pie_graham_cracker, #dc6c23
chocolate_pie_graham_cracker_slice, #c96830
chocolate_sugar_dough, #ae763e
chocolate_sugar_dough_small, #ab753d
chocolate_sweet_roll, #edd6ae
chocolate_sweet_roll_base, #7c5020
chocolate_toast, #b96c2d
chorus_fruit_cheesecake, #f7908c
chorus_fruit_cheesecake_slice, #ffa8b6
chorus_fruit_cream_cake_chorus_fruit, #ffcde3
chorus_fruit_cream_cake_glow_berry, #ffd7d2
chorus_fruit_cream_cake_slice_chorus_fruit, #f4a09a
chorus_fruit_cream_cake_slice_glow_berry, #f5a590
chorus_fruit_cream_cake_slice_sweet_berry, #f5a190
chorus_fruit_cream_cake_sweet_berry, #ffcdd2
chorus_fruit_cream_chocolate, #cc6172
chorus_fruit_cream_chocolate_pastry_bar, #b16b37
chorus_fruit_cream_dark_chocolate, #733640
chorus_fruit_cream_frosted_cake, #ffe3e7
chorus_fruit_cream_frosted_chocolate_cupcake, #d36ebf
chorus_fruit_cream_frosted_chocolate_sweet_roll, #ca6fc8
chorus_fruit_cream_frosted_chocolate_sweet_roll_chorus_fruit, #af65a8
chorus_fruit_cream_frosted_cupcake, #ff8ed2
chorus_fruit_cream_frosted_mini_waffle, #ff96ab
chorus_fruit_cream_frosted_mini_waffle_chorus_fruit, #f18a8a
chorus_fruit_cream_frosted_sweet_roll, #f789cf
chorus_fruit_cream_frosted_sweet_roll_chorus_fruit, #dd7faf
chorus_fruit_cream_frosting_bottle, #f4c5ff
chorus_fruit_cream_frosting_bucket, #d4abe4
chorus_fruit_cream_glazed_chocolate_donut, #d272b9
chorus_fruit_cream_glazed_donut, #f78abc
chorus_fruit_cream_pastry_bar, #ffa248
chorus_fruit_cream_white_chocolate, #ffc5be
chorus_fruit_ice_cream_bowl, #c06896
chorus_fruit_ice_cream_bucket, #d6a4e0
chorus_fruit_ice_cream_cone, #ff97d2
chorus_fruit_ice_cream_sandwich, #a74e39
chorus_fruit_ice_cream_stick, #9a696f
chorus_fruit_jam_bottle, #ffebff
chorus_fruit_jam_bucket, #d3aedc
chorus_fruit_jam_sandwich, #c58954
chorus_fruit_juice_bottle, #d79eff
chorus_fruit_juice_bucket, #b99ec3
chorus_fruit_milkshake_bottle, #deb9ff
chorus_fruit_milkshake_bucket, #bf9ec8
chorus_fruit_pie, #ffb194
chorus_fruit_pie_filling_bucket, #be96b2
chorus_fruit_pie_slice, #ff9b76
chorus_fruit_popsicle, #cc7dab
chorus_fruit_slice, #bf8ab5
cinnamon_sweet_roll_base, #ff7336
cloth_filter, #fff7c6
cloth_filter_cacao_mass, #b68e6b
cocoa_powder, #573626
coffee_toffee, #753a29
coffee_toffee_bucket, #a28e7a
coffee_toffee_fudge, #6c3200
coffee_toffee_fudge_bucket, #a18978
condensed_milk_bottle, #ffffff
condensed_milk_bucket, #e3ded0
cooked_rabbit_cuts, #d27647
cookie_cream_pie, #d09e87
cookie_cream_pie_slice, #ffdebf
cookie_crumbs, #c57944
corn_flour, #ffffb9
cotton_candy_stick, #ffffff
cream_cheese, #fffff0
cream_cheese_bucket, #d7d4d0
cream_chocolate, #dd8379
cream_chocolate_pastry, #b57832
cream_dark_chocolate, #845747
cream_frosting_bottle, #ffffff
cream_frosting_bucket, #e8e3d9
cream_glazed_chocolate_donut, #fabe90
cream_glazed_donut, #ffd794
cream_pastry, #ffb143
cream_pie_chocolate_graham_cracker, #d6a590
cream_pie_chocolate_graham_cracker_slice, #fffbc0
cream_pie_filling_bucket, #e8e3dd
cream_pie_graham_cracker, #fbb47a
cream_pie_graham_cracker_slice, #fffbc0
cream_white_chocolate, #ffe6c5
cupcake_base, #ffac62
cyan_gelatin_dessert_slice, #1bc0c0
cyan_gelatin_mix_bucket, #93a1a1
dark_chips_chocolate_cookie, #7a522d
dark_chips_cookie, #fc9d50
dark_chocolate_bottle, #c8b5be
dark_chocolate_bucket, #9a8480
dark_chocolate_chip_chocolate_milkshake_bottle, #e0bec2
dark_chocolate_chip_ice_cream_cone, #ffd39a
dark_chocolate_chip_milkshake_bottle, #f2feff
dark_chocolate_chip_mini_waffle, #e4873d
dark_chocolate_chip_muffin, #dc6f07
dark_chocolate_chip_waffle, #fc9444
dark_chocolate_chips, #4d2a1b
dark_chocolate_chocolate_pastry, #a5651e
dark_chocolate_covered_marshmallow_stick, #97693a
dark_chocolate_fudge, #793211
dark_chocolate_fudge_bucket, #9e8d84
dark_chocolate_glazed_apple, #843416
dark_chocolate_glazed_berries, #472922
dark_chocolate_pastry, #ff9e30
dark_chocolate_toast, #9d5a22
diced_onion, #fffff8
diced_tomato, #ff4a4d
donut_base, #ff9b2f
donut_hole, #ffb84e
donut_hole_sugar, #ffd970
donut_sugar, #fff087
dragon_bun, #6b3e70
dragon_bun_crimson_fungus, #942d2a
dragon_bun_warped_fungus, #526664
dragon_burger, #986e30
dragon_burger_crimson_fungus, #a25c26
dragon_burger_warped_fungus, #83763e
dragon_patty, #62348d
dried_coffee_beans, #412819
dumpling_wrappers, #fffbca
egg_powder, #ffffea
eggplant_bun, #9d8079
eggplant_bun_cheese_tomato, #cf7543
eggplant_bun_lettuce, #617843
eggplant_bun_lettuce_tomato, #8d6243
eggplant_bun_tomato, #ac625e
eggplant_burger, #a0753d
eggplant_burger_lettuce, #897a30
eggplant_burger_tomato, #a06e36
eggplant_cheeseburger, #ae7f34
eggplant_cheeseburger_lettuce, #93822f
eggplant_cheeseburger_lettuce_tomato, #98792f
eggplant_cheeseburger_tomato, #b48033
eggshell, #fff1c9
endermite_meatball, #905098
endermite_meatball_sandwich, #a4723a
endermite_meatball_stick_1, #7f525c
endermite_meatball_stick_2, #704365
endermite_meatball_stick_3, #734170
espresso_powder, #522908
fish_bacon_pizza, #feb94a
fish_bacon_pizza_slice, #ebab36
fish_calzone, #dca066
fish_onion_pizza, #ffcd75
fish_onion_pizza_slice, #f1b852
fish_pizza, #ffc24d
fish_pizza_slice, #f2b437
fishcake, #b8750a
fried_egg_hash_brown_sandwich, #c99840
fried_egg_plate, #9a7640
frosted_cake, #fff2d0
frosted_chocolate_cupcake, #d2b594
frosted_chocolate_sweet_roll_chorus_fruit, #c6a797
frosted_chocolate_sweet_roll_glow_berry, #e1b17a
frosted_chocolate_sweet_roll_sweet_berry, #c89679
frosted_cupcake, #ffd6a8
frosted_mini_waffle, #ffcc8c
frosted_mini_waffle_chorus_fruit, #f1a579
frosted_mini_waffle_glow_berry, #ffae61
frosted_mini_waffle_sweet_berry, #f2975f
frosted_sweet_roll_chorus_fruit, #f4c09e
frosted_sweet_roll_glow_berry, #ffca82
frosted_sweet_roll_sweet_berry, #f5af80
fruit_smoothie_bottle, #ffc8f2
fruit_smoothie_bucket, #d99eab
gelatin, #ffffff
gelatin_dessert_slice, #fefefe
gelatin_mix_bucket, #bebbbb
glow_berry_cheesecake, #e6a854
glow_berry_cheesecake_slice, #ffd27d
glow_berry_cream_cake_chorus_fruit, #ffd6cd
glow_berry_cream_cake_glow_berry, #ffe0bb
glow_berry_cream_cake_slice_chorus_fruit, #faa887
glow_berry_cream_cake_slice_glow_berry, #fbac7f
glow_berry_cream_cake_slice_sweet_berry, #fba87f
glow_berry_cream_cake_sweet_berry, #ffd7bb
glow_berry_cream_chocolate, #d46f54
glow_berry_cream_chocolate_pastry_bar, #b47623
glow_berry_cream_dark_chocolate, #7c4423
glow_berry_cream_frosted_cake, #ffebd0
glow_berry_cream_frosted_chocolate_cupcake, #c89a52
glow_berry_cream_frosted_chocolate_sweet_roll, #e8af5e
glow_berry_cream_frosted_chocolate_sweet_roll_glow_berry, #de9847
glow_berry_cream_frosted_cupcake, #ffbb66
glow_berry_cream_frosted_mini_waffle, #ffb85b
glow_berry_cream_frosted_mini_waffle_glow_berry, #ffa248
glow_berry_cream_frosted_sweet_roll, #ffc965
glow_berry_cream_frosted_sweet_roll_glow_berry, #ffb24d
glow_berry_cream_frosting_bottle, #fffbd4
glow_berry_cream_frosting_bucket, #e6caa2
glow_berry_cream_glazed_chocolate_donut, #eaab5b
glow_berry_cream_glazed_donut, #ffc35e
glow_berry_cream_pastry_bar, #ffae34
glow_berry_cream_white_chocolate, #ffd3a1
glow_berry_ice_cream_bowl, #b8913e
glow_berry_ice_cream_bucket, #d4c6a2
glow_berry_ice_cream_cone, #ffc564
glow_berry_ice_cream_sandwich, #a55716
glow_berry_ice_cream_stick, #a58944
glow_berry_jam_bottle, #fffff0
glow_berry_jam_bucket, #d0b996
glow_berry_jam_sandwich, #c9943c
glow_berry_juice_bottle, #ebdcb8
glow_berry_juice_bucket, #c3b49b
glow_berry_milkshake_bottle, #faeac8
glow_berry_milkshake_bucket, #d6bfac
glow_berry_pie, #ffc969
glow_berry_pie_filling_bucket, #cab59b
glow_berry_pie_slice, #ffb155
glow_berry_popsicle, #fbbf6b
graham_cracker, #ff8615
graham_cracker_chocolate, #eb5a16
graham_cracker_chocolate_marshmallow, #ffaa7c
graham_cracker_crumbs, #ea6515
graham_cracker_marshmallow, #ffbc82
graham_cracker_pie_crust, #c95f12
gray_gelatin_dessert_slice, #707d83
gray_gelatin_mix_bucket, #9ea0a0
green_gelatin_dessert_slice, #73981b
green_gelatin_mix_bucket, #9b9e93
grilled_cheese_sandwich, #e39e15
ground_beef, #8d4337
ground_endermite, #c861f8
ground_mutton, #bb4341
ground_pork, #ac4d34
ground_rabbit, #ffe4e4
gyro_meat_block, #724026
gyro_meat_slice, #7c462f
hamburger, #a07225
hamburger_bacon, #ac732f
hamburger_bacon_lettuce, #96792a
hamburger_bacon_lettuce_tomato, #9b702a
hamburger_lettuce, #8d7c28
hamburger_lettuce_tomato, #937329
hamburger_onion, #be893d
hamburger_onion_bacon, #b27933
hamburger_onion_bacon_lettuce, #9d7f30
hamburger_onion_lettuce, #97842f
hamburger_peanut_butter, #ab7323
hamburger_peanut_butter_bacon, #b5782c
hamburger_tomato, #a06b26
hash_brown_fried_egg_plate, #d6a758
hash_brown_plate, #b68634
hash_brown_toast_plate, #ca9430
hash_browns, #ffff7a
heavy_cream_bucket, #d9d2ca
hollow_chocolate, #cc5e52
hollow_dark_chocolate, #622d1b
hollow_white_chocolate, #ffd4ac
honeyed_berries, #ffd01f
honeyed_biscuit, #ffcc18
honeyed_chocolate_cupcake, #e09d2f
honeyed_chocolate_donut, #ffb229
honeyed_chocolate_sweet_roll, #ffc22d
honeyed_cupcake, #ffbe43
honeyed_donut, #ffca2d
honeyed_mini_waffle, #ffb83e
honeyed_muffin, #ffb122
honeyed_sweet_roll, #ffd433
honeyed_toast, #dea21c
hot_cheese_and_sausage_biscuit_sandwich, #cc972c
hot_cheese_biscuit_sandwich, #e0a72c
hot_chocolate_bottle, #e6cdd4
hot_chocolate_bucket, #c0aaa5
hot_dark_chocolate_bottle, #d0bfc8
hot_dark_chocolate_bucket, #aea09d
hot_sausage_biscuit_sandwich, #b2872c
hot_white_chocolate_bottle, #ffffff
hot_white_chocolate_bucket, #c9c0b5
ice_cream_bowl, #bfa472
ice_cream_bucket, #dad4c8
ice_cream_cone, #ffe1a5
ice_cream_sandwich, #9a5228
ice_cream_sandwich_neapolitan, #8d4015
ice_cream_stick, #9b8455
light_blue_gelatin_dessert_slice, #c3ffff
light_blue_gelatin_mix_bucket, #b1c2c8
light_gray_gelatin_dessert_slice, #ccccc3
light_gray_gelatin_mix_bucket, #a8a8a7
lime_gelatin_dessert_slice, #9ef526
lime_gelatin_mix_bucket, #9ea594
macaroni, #f1bc4a
macaroni_bowl, #a57c25
macaroni_bowl_bacon, #a57228
macaroni_bowl_cheese, #bc871e
macaroni_bowl_cheese_bacon, #b87a23
macaroni_bowl_cheese_sausage, #a87316
macaroni_bowl_sausage, #97691c
magenta_gelatin_dessert_slice, #ff5bf4
magenta_gelatin_mix_bucket, #ab98aa
magma_cream_marshmallow, #d9a22f
magma_cream_marshmallow_stick, #cda219
marshmallow, #ffffff
marshmallow_butterscotch_fudge, #ffc376
marshmallow_caramel_fudge, #ff7616
marshmallow_chocolate, #da786c
marshmallow_chocolate_fudge, #ac572a
marshmallow_coffee_toffee_fudge, #783700
marshmallow_dark_chocolate, #7c4a37
marshmallow_dark_chocolate_fudge, #843711
marshmallow_stick, #f1e1c3
marshmallow_toffee_fudge, #c0653c
marshmallow_white_chocolate, #ffe3be
marshmallow_white_chocolate_fudge, #ffe8b9
meatball, #651912
meatball_sandwich, #94641e
meatball_stick_1, #613215
meatball_stick_2, #5f2311
meatball_stick_3, #5f1e11
melon_cream_chocolate, #d6615e
melon_cream_chocolate_pastry_bar, #b56b2c
melon_cream_dark_chocolate, #7d362d
melon_cream_frosted_chocolate_cupcake, #de7c84
melon_cream_frosted_chocolate_sweet_roll, #ff6872
melon_cream_frosted_cupcake, #ff9d98
melon_cream_frosted_mini_waffle, #ffa282
melon_cream_frosted_sweet_roll, #ff8079
melon_cream_frosting_bottle, #ffc5e4
melon_cream_frosting_bucket, #e4abb5
melon_cream_glazed_chocolate_donut, #ea726b
melon_cream_glazed_donut, #ff8a6e
melon_cream_pastry_bar, #ffa23e
melon_cream_white_chocolate, #ffc5ab
melon_ice_cream_bowl, #cc7f70
melon_ice_cream_bucket, #e3b4c0
melon_ice_cream_cone, #ffa797
melon_ice_cream_sandwich, #a44b26
melon_ice_cream_stick, #a5725a
melon_jam_bottle, #ffebfa
melon_jam_bucket, #daabb5
melon_jam_sandwich, #cc8940
melon_milkshake_bottle, #f4b9de
melon_milkshake_bucket, #c89ea4
milk_powder, #ffffff
milkshake_bottle, #ffffff
milkshake_bucket, #d6cfca
minced_dragon, #6e3d98
mini_chocolate_graham_cracker_pie_crust, #914b36
mini_chocolate_pie_graham_cracker, #d26423
mini_cookie_cream_pie, #cc9883
mini_cream_pie_chocolate_graham_cracker, #d4a490
mini_cream_pie_graham_cracker, #f8ae7a
mini_graham_cracker_pie_crust, #cc5c14
mini_smores_pie, #dd7830
mini_waffle, #fa9340
mixed_salad_beetroot_carrot, #a45e22
molasses_bottle, #af9391
molasses_bucket, #a08e86
muffin_base, #e67304
mushroom_bacon_pizza, #f8b550
mushroom_bacon_pizza_slice, #e4a844
mushroom_calzone, #dca066
mushroom_fish_pizza, #fabc5f
mushroom_fish_pizza_slice, #e3ac51
mushroom_onion_pizza, #ffc36b
mushroom_onion_pizza_slice, #e8b15a
mushroom_pizza, #f8b857
mushroom_pizza_slice, #eaae44
mutton_sandwich, #b87f36
mutton_sandwich_beetroot, #bc7a37
mutton_wrap_lettuce_tomato, #deb468
mutton_wrap_onion_lettuce_tomato, #e3b96e
mutton_wrap_onion_tomato, #f1bb73
nacho_bowl, #d6a01e
onion_bacon_pizza, #ffc261
onion_bacon_pizza_slice, #f1ae41
onion_calzone, #dca066
onion_pizza, #ffd675
onion_pizza_slice, #fabb4d
orange_gelatin_dessert_slice, #ffa116
